timestamp,Temperature,Humidity,PM2.5,CO2,TVOC,CO,prediction
2026-02-05 23:24:58,33.7,64.4,0.0,508.0,151.0,1.16,Poor
2026-02-05 23:25:03,33.7,64.3,0.0,472.0,120.0,1.13,Poor
2026-02-05 23:25:09,33.7,64.2,0.0,463.0,103.0,1.13,Poor
2026-02-05 23:25:14,33.7,64.2,0.0,438.0,86.0,1.1,Poor
2026-02-05 23:25:20,33.7,64.3,0.0,428.0,72.0,1.08,Poor
2026-02-05 23:25:26,33.7,64.2,0.0,410.0,60.0,1.08,Poor
2026-02-05 23:25:31,33.7,64.2,0.0,401.0,50.0,1.05,Poor
2026-02-05 23:25:37,33.7,64.4,0.0,395.0,45.0,1.06,Poor
2026-02-05 23:25:42,33.7,64.3,0.0,394.0,44.0,1.05,Poor
2026-02-05 23:25:48,33.6,64.4,0.0,389.0,36.0,1.05,Poor
2026-02-05 23:25:53,33.7,64.5,0.0,380.0,32.0,1.05,Poor
2026-02-05 23:25:58,33.7,64.4,0.0,382.0,31.0,1.02,Poor
2026-02-05 23:26:21,33.7,64.3,0.0,365.0,6.0,0.99,Poor
2026-02-05 23:26:27,33.7,64.3,0.0,365.0,15.0,1.01,Poor
2026-02-05 23:26:33,33.7,64.4,0.0,355.0,14.0,0.99,Poor
2026-02-05 23:26:39,33.7,64.3,0.0,355.0,14.0,1.0,Poor
2026-02-05 23:26:44,33.6,64.2,0.0,357.0,7.0,0.99,Poor
2026-02-05 23:26:50,33.7,64.1,0.0,356.0,6.0,0.99,Poor
2026-02-05 23:26:56,33.7,64.1,0.0,356.0,6.0,0.98,Poor
2026-02-05 23:27:01,33.7,64.2,0.0,355.0,5.0,0.98,Poor
2026-02-05 23:27:07,33.6,64.2,0.0,355.0,14.0,0.99,Poor
2026-02-05 23:27:12,33.7,64.1,0.0,357.0,8.0,0.98,Poor
2026-02-05 23:27:21,33.7,64.1,0.0,371.0,19.0,1.0,Poor
2026-02-05 23:27:26,33.6,64.2,0.0,358.0,7.0,0.97,Poor
2026-02-05 23:27:32,33.6,64.2,0.0,359.0,15.0,0.97,Poor
2026-02-05 23:27:38,33.6,64.2,0.0,358.0,8.0,0.98,Poor
2026-02-05 23:27:43,33.6,64.2,0.0,365.0,17.0,0.97,Poor
2026-02-05 23:27:49,33.6,64.3,0.0,366.0,17.0,0.97,Poor
2026-02-05 23:27:54,33.6,64.4,0.0,360.0,10.0,0.98,Poor
2026-02-05 23:28:00,33.6,64.4,0.0,374.0,27.0,0.98,Poor
2026-02-05 23:28:05,33.5,64.5,0.0,373.0,23.0,0.97,Poor
2026-02-05 23:28:11,33.6,64.5,0.0,372.0,23.0,0.97,Poor
2026-02-05 23:28:17,33.6,64.5,0.0,373.0,24.0,0.98,Poor
2026-02-05 23:28:22,33.5,64.4,0.0,378.0,27.0,0.97,Poor
2026-02-05 23:28:27,33.5,64.4,0.0,368.0,17.0,0.99,Poor
2026-02-05 23:28:33,33.5,64.5,0.0,373.0,23.0,0.98,Poor
2026-02-05 23:28:38,33.5,64.5,0.0,368.0,15.0,0.97,Poor
2026-02-05 23:28:44,33.5,64.5,0.0,365.0,15.0,0.96,Poor
2026-02-05 23:28:49,33.5,64.5,0.0,355.0,6.0,0.96,Poor
2026-02-05 23:28:55,33.5,64.5,0.0,367.0,18.0,0.96,Poor
2026-02-05 23:29:00,33.5,64.7,0.0,375.0,28.0,0.98,Poor
2026-02-05 23:29:06,33.5,64.6,0.0,374.0,22.0,0.97,Poor
2026-02-05 23:29:11,33.5,64.8,0.0,376.0,24.0,0.99,Poor
2026-02-05 23:29:17,33.5,65.2,0.0,389.0,42.0,1.02,Poor
2026-02-05 23:29:22,33.4,65.2,0.0,432.0,83.0,1.01,Poor
2026-02-05 23:29:31,33.5,65.5,0.0,424.0,75.0,1.02,Poor
2026-02-05 23:29:36,33.4,65.5,0.0,405.0,51.0,0.99,Poor
2026-02-05 23:29:42,33.4,65.6,0.0,403.0,54.0,1.01,Poor
2026-02-05 23:29:47,33.4,65.6,0.0,413.0,64.0,1.01,Poor
2026-02-05 23:30:03,33.4,65.6,0.0,423.0,67.0,1.02,Poor
2026-02-05 23:30:08,33.4,65.6,0.0,417.0,69.0,1.02,Poor
2026-02-05 23:30:14,33.4,65.5,0.0,419.0,71.0,1.01,Poor
2026-02-05 23:30:19,33.4,65.7,0.0,419.0,68.0,1.01,Poor
2026-02-05 23:30:24,33.4,65.6,0.0,415.0,62.0,1.03,Poor
2026-02-05 23:30:30,33.4,65.7,0.0,451.0,101.0,1.03,Poor
2026-02-05 23:30:35,33.4,65.6,0.0,416.0,62.0,1.0,Poor
2026-02-05 23:30:41,33.4,65.7,0.0,406.0,54.0,0.99,Poor
2026-02-05 23:30:47,33.3,65.5,0.0,401.0,48.0,1.0,Poor
2026-02-05 23:30:52,33.4,65.6,0.0,400.0,51.0,1.0,Poor
2026-02-05 23:31:03,33.3,65.7,0.0,399.0,53.0,1.01,Poor
2026-02-05 23:31:09,33.3,65.6,0.0,426.0,68.0,1.01,Poor
2026-02-05 23:31:14,33.3,65.6,0.0,384.0,33.0,0.98,Poor
2026-02-05 23:31:20,33.3,65.6,0.0,385.0,36.0,1.01,Poor
2026-02-05 23:31:25,33.3,65.6,0.0,409.0,60.0,1.01,Poor
2026-02-05 23:31:31,33.3,65.6,0.0,385.0,33.0,0.98,Poor
2026-02-05 23:31:36,33.3,65.5,0.0,373.0,25.0,0.98,Poor
2026-02-05 23:31:42,33.3,65.5,0.0,379.0,27.0,0.98,Poor
2026-02-05 23:31:48,33.3,65.4,0.0,374.0,25.0,0.98,Poor
2026-02-05 23:31:53,33.3,65.5,0.0,378.0,26.0,0.99,Poor
2026-02-05 23:31:59,33.3,65.5,0.0,374.0,26.0,0.98,Poor
2026-02-05 23:32:04,33.3,65.3,0.0,369.0,19.0,0.98,Poor
2026-02-05 23:32:09,33.3,65.5,0.0,374.0,23.0,0.99,Poor
2026-02-05 23:32:18,33.3,65.6,0.0,369.0,17.0,1.0,Poor
2026-02-05 23:32:23,33.3,65.4,0.0,371.0,16.0,0.97,Poor
2026-02-05 23:32:29,33.2,65.5,0.0,358.0,8.0,0.98,Poor
2026-02-05 23:32:34,33.2,65.5,0.0,359.0,9.0,0.98,Poor
2026-02-05 23:32:40,33.3,65.5,0.0,359.0,9.0,0.99,Poor
2026-02-05 23:32:45,33.2,65.5,0.0,361.0,11.0,0.98,Poor
2026-02-05 23:32:51,33.2,65.5,0.0,360.0,10.0,0.99,Poor
2026-02-05 23:32:56,33.2,65.6,0.0,360.0,9.0,1.0,Poor
2026-02-05 23:33:02,33.2,65.5,0.0,361.0,10.0,0.97,Poor
2026-02-05 23:33:07,33.2,65.7,0.0,357.0,6.0,0.99,Poor
2026-02-05 23:33:12,33.2,65.7,0.0,359.0,9.0,0.98,Poor
2026-02-05 23:33:18,33.2,65.6,0.0,361.0,11.0,1.0,Poor
2026-02-05 23:33:23,33.2,65.7,0.0,382.0,36.0,0.98,Poor
2026-02-05 23:33:29,33.1,65.7,0.0,372.0,26.0,0.99,Poor
2026-02-05 23:33:34,33.1,65.6,0.0,370.0,18.0,0.98,Poor
2026-02-05 23:33:39,33.1,65.7,0.0,361.0,11.0,0.97,Poor
2026-02-05 23:33:45,33.2,65.8,0.0,355.0,6.0,0.99,Poor
2026-02-05 23:33:50,33.1,65.7,0.0,365.0,16.0,0.96,Poor
2026-02-05 23:33:56,33.1,65.9,0.0,355.0,5.0,0.97,Poor
2026-02-05 23:34:01,33.1,65.8,0.0,357.0,17.0,0.97,Poor
2026-02-05 23:34:07,33.1,65.9,0.0,356.0,6.0,0.98,Poor
2026-02-05 23:34:12,33.1,65.9,0.0,355.0,7.0,0.97,Poor
2026-02-05 23:34:18,33.1,65.8,0.0,357.0,8.0,1.0,Poor
2026-02-05 23:34:23,33.1,65.8,0.0,394.0,48.0,0.99,Poor
2026-02-05 23:34:28,33.1,65.8,0.0,393.0,39.0,0.98,Poor
2026-02-05 23:34:34,33.1,65.9,0.0,380.0,26.0,0.97,Poor
2026-02-05 23:34:40,33.1,65.9,0.0,361.0,12.0,0.94,Poor
2026-02-05 23:34:45,33.1,65.9,0.0,364.0,14.0,0.96,Poor
2026-02-05 23:34:50,33.1,65.9,0.0,355.0,6.0,0.97,Poor
2026-02-05 23:34:56,33.1,65.8,0.0,363.0,13.0,0.95,Poor
2026-02-05 23:35:02,33.1,65.8,0.0,356.0,6.0,0.95,Poor
